video9770#zh#0 一个人正在连接某物到系统
video9521#zh#0 一个人从一群快乐的男人身边经过
video8839#zh#0 海绵宝宝正在展示关于他和蟹老板的记忆
video7763#zh#0 人们在打篮球
video9522#zh#0 一名男子正在舞台上做演讲
video8834#zh#0 一名男子正在厨房做饭，他说他稍后会回来加菜
video8056#zh#0 人们正在吃炸土豆
video8836#zh#0 一个女人正在做饭，一个男人正在摆餐桌
video8837#zh#0 一个小女孩抚摸着躺在沙发上的狗
video8830#zh#0 这是一个会议的视频
video7768#zh#0 一个带盘子的橱柜的3D动画
video8832#zh#0 一个女孩在给她的朋友发短信
video8057#zh#0 一个女人在准备烤鸭
video7567#zh#0 一名男子在查看了一辆汽车的细节
video7566#zh#0 一个男人解释为什么他用可食用的花朵作为礼物
video7565#zh#0 在厨房里，一个女人正在用食品加工机切碎西红柿
video7564#zh#0 一个人在雪山顶上玩杂耍棍子
video7563#zh#0 一个男人正在谈论家用电器
video7562#zh#0 关于美国宇航局约翰逊航天中心的文章正在新闻中播出
video7561#zh#0 一个人正在玩玩具厨房的配件
video7560#zh#0 一个人把一串磁铁拉直，并绕在他的手指上
video7569#zh#0 一个女人正在唱歌
video7568#zh#0 可以看到英国女王与包括几名伊斯兰妇女在内的随行人员一起行走，一名妇女讲述了女王如何创造出与伊斯兰妇女相似的服装
video9404#zh#0 一位女士对着扩音器说话
video9428#zh#0 一个对工作时的机器及其功能的介绍
video7947#zh#0 一个新闻节目中，一个女人就商业市场货币采访一名男子
video8831#zh#0 许多人走在购物中心大厅和电脑商店里，屏幕上在显示着销售信息
video7946#zh#0 那个坐在黑色椅子上穿着棕色西装的男人正在说话
video9131#zh#0 两个人触摸着他们戴着的面具，面具的形状类似于一个相机立方体，中间有一个黑色镜头，其中一个面具上面覆盖着五颜六色的花朵
video9405#zh#0 红色气球漂浮在空中，上面绑着包裹
video9231#zh#0 几个芭比娃娃正在玩耍，一个娃娃在给另一个芭比娃娃穿鞋，这些都是小孩子玩的
video9230#zh#0 一个男人对一个小男孩说，不要让别人使他相信他想在生活中做的任何事都是不可能的
video9233#zh#0 一个人正在做演讲
video9232#zh#0 一个电子游戏中的女性角色从山上跑下来，接着一只狗从山上跑下来，然后她们一起跑上山
video9235#zh#0 男人们正在往枪里装弹药
video9234#zh#0 两个男人一边走一边谈论着这条路
video9237#zh#0 电影潜伏的预告片
video9236#zh#0 一名男子在打开杂物箱时检查一个人手臂的长度
video9239#zh#0 一个人踢母牛
video9238#zh#0 一名男子在电梯里唱歌跳舞，人们在一旁观看
video8948#zh#0 有一个人正在和突击队员谈话
video8119#zh#0 一个人在解释什么是僵人综合征
video9657#zh#0 屏幕上显示了一只猴子和一个人在用手喂猴子
video8118#zh#0 外国妇女梳着头发，穿着传统服装表演
video8949#zh#0 穿着泳衣的女子跳入水中，脱掉了泳衣
video9975#zh#0 有一辆黄色跑车，一个男人在谈论这辆车
video9356#zh#0 有人正在整理餐具，大炖锅和勺子，准备做饭
video9357#zh#0 一个女人笑到窒息
video9354#zh#0 一辆红色卡车在燃烧，而三个男人在谈论一辆汽车  
video9355#zh#0 一个描述视频游戏录像的人
video9352#zh#0 一个男人在和一群人说话
video9353#zh#0 两个女人在外面用外语讨论着什么
video9350#zh#0 屏幕显示一些人在说话
video9351#zh#0 一个男人正拿着麦克风在舞台上对着一大群观众唱歌
video8111#zh#0 人们正在使用计算机软件工具
video9358#zh#0 某人在谈论一辆汽车
video9359#zh#0 有一张海滩照片，同时有一个声音在谈论鲨鱼袭击
video8110#zh#0 一个卡通女人在长凳上哭泣，同时一个穿蓝色衣服的女人出现了
video7741#zh#0 一个戴着墨镜的卡通男子向人群挥手并微笑
video8116#zh#0  一位父亲和他的儿子玩电子游戏
video7837#zh#0 一个人沿着绿色植物和其他树叶环绕的楼梯走下
video8620#zh#0 一个女人正在做一件发饰
video7468#zh#0 一名男子跳上一栋楼的窗台
video9409#zh#0 一碗由虾、葱和其他各种配料组成的汤
video9032#zh#0 一间医院的太平间，一位医生在处理这个特殊情况
video8622#zh#0 一个男人尝试解开一个魔方
video7747#zh#0 这是一个背景设定在古代的迪士尼动画中的一个场景
video8824#zh#0 一段菲尔博士的脱口秀
video8626#zh#0 数字显示在屏幕上
video7462#zh#0 他画了一幅美丽的画
video9623#zh#0 当人们在打架的时候，一个男人正在打电话  
video9620#zh#0 包含部分设备的外太空图片，设备上有水滴
video8420#zh#0 一名男子坐在一辆黑色大卡车上调整镜子
video8945#zh#0 两名男子站在高悬在城市上空的平台上
video9451#zh#0  孩子们喂马并和马一起玩耍
video7461#zh#0 一个摇滚乐队正在演出
video9450#zh#0 一个外国军事主题的节目
video7466#zh#0 一群男人抬着一具被单盖着的尸体
video7613#zh#0 一位身穿紫色衬衫和白色外套的女记者正在新闻节目中讲话，旁边是一位身穿深色西装的男性形象
video7467#zh#0 迪士尼电影视频剪辑
video9452#zh#0 显示器屏幕上一条动画灰色鲨鱼在模拟深海背景中绕圈旋转
video7464#zh#0 这个视频展示了一款赛车电子游戏的游戏玩法
video7615#zh#0 一个男人骑在马背上
video9625#zh#0 这是一个关于鸡肉蔬菜的烹饪食谱节目
video7614#zh#0 一名男子从拖车中取出一辆车
video8333#zh#0 一个女人正在电视频道中讲话
video8332#zh#0 某人正在组装一个小凯蒂猫烤箱玩具
video8331#zh#0 一个男人在课堂上教学生
video8330#zh#0 一男一女正在公共汽车站交谈
video8337#zh#0 一些人在喜剧节目中表演
video8336#zh#0 一个教堂唱诗班的视频
video8335#zh#0 一个美丽的瀑布正在流入它下面的水池中，相机在这个区域周围移动拍摄
video8334#zh#0 一只狗奔跑和嚎叫的卡通片
video8339#zh#0 孩子们围成一圈玩沙滩球和冲浪板
video7616#zh#0 一辆橙色跑车在迅速加速
video7619#zh#0 奥巴马在对人群发表演讲
video7491#zh#0 一个人在节目中解释一个概念
video9458#zh#0 一个人在玩电子游戏
video7744#zh#0 一名厨师在锅里搅拌一些食材
video9512#zh#0 一个金发黑衬衫的女人正在说话
video9824#zh#0  两位女士坐在办公室里聊天
video9825#zh#0 一个戴眼镜的聪明人在谈论某位骨相学家
video9826#zh#0 一个动画米奇正在开车
video9827#zh#0  Lady Gaga在一个音乐视频中演唱
video9820#zh#0 一个女孩在玩模拟人生游戏
video9821#zh#0 一个男人在做演讲并展示了地球
video9822#zh#0 一个女人正在说话
video9823#zh#0 来自不同橄榄球比赛中的各种场景
video9514#zh#0 丰田汽车内部空间大，安全  
video9828#zh#0 各种各样的人举着可爱的宠物
video9829#zh#0 拉斯蒂·豪瑟谈到自己是如何通过希特勒的事迹从而喜爱上他的
video7755#zh#0 某人在谈论有关警方的暴力行为
video9520#zh#0 一个打领带的胖子正看着一个男人
video7756#zh#0 一群女人正在唱歌
video7757#zh#0 当人们被枪击时，一个身穿迷彩服的人弯着膝盖穿过大水泥房走向一扇门
video7828#zh#0 一名男子在笔记本电脑前用麦克风讲课，身后闪着红光
video7829#zh#0 某人在投影仪上放了一张骨架幻灯片
video8489#zh#0  一个名为如何烹饪美食的电视频道正在讲述如何准备一道菜
video8488#zh#0 一位女士正在谈论面部护理产品
video8485#zh#0 外语音乐视频
video7823#zh#0 一位亚洲女性正在谈论食物
video7820#zh#0 一个人在谈论汽车的交流发电机为什么不工作
video8486#zh#0 一个年轻人在咒骂的卡通片
video8481#zh#0 一名女子正在报道科迪斯的商业广告
video8480#zh#0  贫穷的孩子们在吃饭，一个男人在说话
video8483#zh#0 某人在碗里搅拌配料
video8482#zh#0 大卫深夜脱口秀抢先看
video8249#zh#0 蝙蝠侠在蝙蝠侠电影的一个场景中暴打贝恩
video8248#zh#0 云雾遮住了船和水的景色
video8247#zh#0 : 一名男子正在谈论烹饪、使用温度计和准备方法
video8246#zh#0 有一个人在修汽车
video8245#zh#0 一个战士正在战斗
video8244#zh#0 两名男子走在两只犀牛后面，其中一只犀牛袭击了一名男子
video8243#zh#0 穿黑西装的人正在和一群人开会
video8242#zh#0 小驴四处走动并发出噪音
video8241#zh#0 几位身穿粉色服装和其他各种风格的女性在站着微笑
video8240#zh#0 一个中年女人给另一个女人按摩
video7220#zh#0 三个孩子在美国之声节目中一起唱歌
video8466#zh#0 男人们在乐队里演奏乐器
video7222#zh#0 一个卡通男人为他的女孩跳舞
video7223#zh#0 时钟上的大小指针快速移动
video8463#zh#0 屏幕上美丽的景色
video8462#zh#0 人们在玩我的世界
video8461#zh#0 两个孩子对着镜头说话，然后一个女人对着镜头说话
video7227#zh#0 一个男孩正在唱歌
video7228#zh#0 一个男人正在坐着弹吉他
video7229#zh#0 一个女人正在谈论电影
video8469#zh#0 两只鹦鹉在鸟笼里，一只是白色的幼年鹦鹉，一只是绿色的成年鹦鹉
video8468#zh#0 某人在侠盗猎车手五的城市中开车
video7916#zh#0 女孩正在查看推特
video7917#zh#0 仙妮亚·唐恩为她的视频做了一个特写
video7914#zh#0 一个视频正在播放一朵花和其他自然景观
video7915#zh#0 一个戴着墨镜、穿着蓝色短袖的男人在打bbox
video7912#zh#0 彼得正在开车
video7913#zh#0 一个人在描述怎么用windows系统做事
video7910#zh#0 一个人看着电脑的电池
video7911#zh#0  一个女人正在用酱锅做菜
video8507#zh#0 一个女孩在前院做体操
video8628#zh#0 一个男人正在游戏中和他的朋友们说话
video7919#zh#0 一个游戏角色正在空中跳跃和漂浮
video8799#zh#0 不同的字母出现并用它们的发音方式发出声音
video8798#zh#0 一场灯光秀正在建筑物上进行
video8069#zh#0 一名宇航员正在看一面旗帜
video8068#zh#0 沙发上的女人在和一个男人说话
video9919#zh#0 一名男子走向一名女子，女子打破一个瓶子以保护她的东西
video8791#zh#0 一位女士正在演示一种指甲彩绘技术
video8790#zh#0 两个女人正拥抱在一起
video8061#zh#0 DC漫画人物vane的喜剧短剧
video8792#zh#0 一个女孩在说话
video8067#zh#0 一个人在拿着杯子说话
video8794#zh#0 一个卡通女孩和动物在男人身上跳跃，屏幕上还显示了女孩的图片
video8797#zh#0 一些人在玩我的世界
video8796#zh#0 男人在谈论徒步旅行
video7598#zh#0 一个人正在录音室唱歌
video7599#zh#0 人们在后院比赛
video9752#zh#0 一个人正在说话，许多人围在周围
video7593#zh#0 一群朋友正在房间里互相交谈
video9750#zh#0 一名男子用枪指着房间里的一名女子
video7591#zh#0 一位女士正在演示怎么做煎饼
video7596#zh#0  一男一女正在舞台上唱歌
video7597#zh#0 一个男人一边开车一边讨论他的车
video7594#zh#0 水正在装有岩石的水箱中被过滤
video9755#zh#0 座椅篮广告
video7358#zh#0 一个关于vine的合辑
video7359#zh#0 两个人正在为运动做准备
video7354#zh#0 一名男子正在展示汽车内部
video7355#zh#0 在一个绿色恐龙形状的剪影中勾勒出一个手印，这个图标用于电影宣传
video7356#zh#0 一辆有carfax公司提供详细信息的车辆
video7357#zh#0 网球运动员正在大型体育场里在大批观众面前参加比赛
video7350#zh#0 两条蛇被放在容器里
video7351#zh#0 一个男人正在表演一个场景
video7352#zh#0 摩根·弗里曼和穿着盔甲的男人们奔跑的电影场景
video7353#zh#0 我的世界游戏正在被玩
video8027#zh#0 正在玩一个电子游戏
video8979#zh#0 有关篮球运动的vine合辑
video8025#zh#0 gullah grub正宗烹饪节目的片头字幕
video8665#zh#0 穿着蓝色和红色T恤的羽毛球运动员在夜间的网球场上打网球
video8664#zh#0 顾客在冰激凌店排队等候同时员工在服务他们
video8667#zh#0 音乐和广告正在播放
video8666#zh#0 一颗心被展示
video8661#zh#0 足球运动员在足球比赛中射门
video8660#zh#0 两个队在奥运会上比赛
video8663#zh#0 某人玩我的世界的游戏画面
video8662#zh#0 一个男人和一个女人在烹饪节目上烹饪
video8751#zh#0 一个人正在做烹饪表演，并讲述配料
video8669#zh#0 主持人在谈论一个节目
video8668#zh#0 突出一个人在打篮球
video8022#zh#0 《世界新闻聚焦非洲》的开场白，我们受到了bbc驻南非约翰内斯堡记者的欢迎
video7686#zh#0  一名男子抬头看着教堂的风琴管，与忏悔室的牧师交谈
video7687#zh#0 一个女孩在使用智能手机
video7684#zh#0 一个女人谈论她随身携带的护肤品
video7685#zh#0 情侣们在描述电影幕后逻辑
video7682#zh#0 一个男人和一个女人正在表达爱意
video8938#zh#0 一个人正在躲避炸弹
video7680#zh#0 一位埃塞俄比亚妇女问一个孩子她擅长什么
video7681#zh#0 一群人正在一片水域中乘坐木筏
video8935#zh#0 男人正在与大狮子和朋友过马路
video8934#zh#0 摄像机在拍摄路上车辆之间的近距离事故
video8937#zh#0 《this little light of mine》这首歌和一些不同的照片
video8936#zh#0 一些女孩正在练习体操
video8931#zh#0 一名男子正在玩一个手持剑的电子游戏角色，并用这把剑杀死动物
video8930#zh#0 一名男子在新闻小组发言
video7688#zh#0 两个人中的一个人正赤脚走在一盒鸡蛋上
video8932#zh#0 一个男人正在接受电视节目的采访
video7178#zh#0 一首动画视频游戏歌曲
video7179#zh#0 两个动画女人正在互相交谈
video7170#zh#0 一个女孩在练习她的箭术
video7171#zh#0 身穿白色上衣的女士在与观众交谈
video7172#zh#0 在这幅漫画中，女孩向男孩们展示了她的奖牌
video7173#zh#0 一个女人正在搅拌指甲油并把鸡蛋放进去
video7174#zh#0 一个人乘坐缆车到达山顶
video7175#zh#0 乐队成员就座
video7176#zh#0 一个人正在谈论亚当的《Space Project》这首歌曲
video7177#zh#0 一个女孩正在花园里跳舞
video9688#zh#0 一个人看着电脑屏幕上的一位名人
video9689#zh#0 香料被混合在不锈钢碗中
video8453#zh#0 一名男子用枪指着另一个人的脸
video9680#zh#0 有一个人正在《谷歌地球》上谈论航班
video9681#zh#0 运动员们在球场上打斗
video9682#zh#0 一个女孩对男朋友的毛绒玩具感到惊喜
video9683#zh#0 一对男女在裘德面前表演
video9684#zh#0 有人用锋利的刀在桌子上切洋葱
video9685#zh#0 一些人在练习武术
video9686#zh#0 一个非常痛苦的女人
video9687#zh#0 一个男人正在切龙虾并取下虾壳
video8712#zh#0 一位女士正在展示指甲油
video8450#zh#0 视频中显示了一架电动直升机在空中移动，一个穿着黄色衣服带着头盔的男人和一个穿着红色衣服带着头盔的男人在雪地里说话并击掌
video9416#zh#0 这个人正在拍摄那匹正在玩耍的棕色马
