3c0hLqxvSSI_000000_000010#enc2zh#0 在不同的变异的平台上的一个人俯卧撑
wDV6b2lclRs_000002_000012#enc2zh#9 两个男孩在街道外面有房子在背景中，一个人跑到路的另一边，第二个人扔给他的球，他错过了，然后跌倒了
B28a7A-YdLM_000025_000035#enc2zh#0 一个男孩正在窃听他的手，让音乐听起来
B28a7A-YdLM_000025_000035#enc2zh#1 一个人在桌子上扮演一张鼓击败，然后用手手掌然后手指的尖端
B28a7A-YdLM_000025_000035#enc2zh#2 一个人在桌子上抽出一个音乐节拍
B28a7A-YdLM_000025_000035#enc2zh#3 看到一个人在户外用手在桌子上表演
B28a7A-YdLM_000025_000035#enc2zh#4 一个孩子坐在外面在一个长凳上，并在它上击败它
B28a7A-YdLM_000025_000035#enc2zh#5 一个人用手和手指在桌子上鼓敲响
B28a7A-YdLM_000025_000035#enc2zh#6 一个人正在使用他们的手指和手在桌子上制作音乐
B28a7A-YdLM_000025_000035#enc2zh#7 一个人在外面撞上一张桌子，用手制作一个节拍
B28a7A-YdLM_000025_000035#enc2zh#8 一个人用手在木头上创造一个硬粘接鼓
B28a7A-YdLM_000025_000035#enc2zh#9 穿着黑色衬衫的人正在用手在桌子上播放鼓
kes8AY_tlgo_000016_000026#enc2zh#0 几个孩子和幼儿正在互相投掷球
kes8AY_tlgo_000016_000026#enc2zh#1 成年人和孩子们在孩子们扔躲避球
kes8AY_tlgo_000016_000026#enc2zh#2 一群成年人再次玩一群孩子
kes8AY_tlgo_000016_000026#enc2zh#3 一群成人和孩子在草皮领域玩闪闪发出球
kes8AY_tlgo_000016_000026#enc2zh#4 躲避球比赛爆发了小孩和青少年之间
kes8AY_tlgo_000016_000026#enc2zh#5 一群成人在室内领域的一群孩子演奏道奇球
kes8AY_tlgo_000016_000026#enc2zh#6 一群男人正在玩躲避球对抗一群孩子
kes8AY_tlgo_000016_000026#enc2zh#7 一群男人向孩子们向儿童投掷几个球
kes8AY_tlgo_000016_000026#enc2zh#8 一群孩子在室内领域玩doggeball
kes8AY_tlgo_000016_000026#enc2zh#9 一群人正在玩一场闪光球
38Jn4r_pcpg_000167_000177#enc2zh#0 一个男人用更大的瓶子倒入另一个瓶子
38Jn4r_pcpg_000167_000177#enc2zh#1 一个男人在厨房里，从坐在柜台上的锅里拉出瓶子
38Jn4r_pcpg_000167_000177#enc2zh#2 一个男人正在制作啤酒，将一些啤酒倒入另一个容器中甚至他们
38Jn4r_pcpg_000167_000177#enc2zh#3 一个男人捡到琥珀色的啤酒型瓶子，并将流体从一个倒入另一个
38Jn4r_pcpg_000167_000177#enc2zh#4 一个男人展示如何在家里酿造啤酒时填充瓶子
38Jn4r_pcpg_000167_000177#enc2zh#5 一个男人站在一个装满瓶的锅前面，演示了如何填补它们
38Jn4r_pcpg_000167_000177#enc2zh#6 一个男人站在厨房柜台，将多余的液体从一个瓶子倒入另一个瓶子
38Jn4r_pcpg_000167_000177#enc2zh#7 一个人手里有两个瓶子，并从一个瓶子倒入另一个瓶子
38Jn4r_pcpg_000167_000177#enc2zh#8 一个男人拿两个瓶子，将液体从一个倒入另一个瓶子
38Jn4r_pcpg_000167_000177#enc2zh#9 一个男人倒入一瓶啤酒，喝一瓶啤酒
IjaA8hal1xM_000034_000044#enc2zh#0 一个男人正在打呵欠，让有趣的噪音有人嘲笑他们
IjaA8hal1xM_000034_000044#enc2zh#1 一个男人给一个幽默的视频给了一个长而大声的打哈欠
IjaA8hal1xM_000034_000044#enc2zh#2 一个男人正在打呵欠，同时为自己模仿一些声音
IjaA8hal1xM_000034_000044#enc2zh#3 一个黑人在一个人笑的时候很大程度上打呵欠
IjaA8hal1xM_000034_000044#enc2zh#4 非洲人正在展示一个特定部落的奇怪形式的打呵欠
IjaA8hal1xM_000034_000044#enc2zh#5 一个男人坐着打呵欠，而另一个人嘲笑他们
IjaA8hal1xM_000034_000044#enc2zh#6 一个非洲裔美国人的Meme在坦克顶级打呵欠
IjaA8hal1xM_000034_000044#enc2zh#7 一个男人制作各种面部表情，因为某人是背景是笑
IjaA8hal1xM_000034_000044#enc2zh#8 一个黑人在屏幕上打呵欠，就像一个meme
IjaA8hal1xM_000034_000044#enc2zh#9 一个人笑着耸耸肩，因为一个男人在一个哈欠的嘴里睁大了
9j5QdwaK2gs_000009_000019#enc2zh#0 一只男性正在使用木材切割机来削减大平静的木头
9j5QdwaK2gs_000009_000019#enc2zh#1 一个人演示了Makita如何通过金属钉镶嵌金属钉的胶合板锯切
9j5QdwaK2gs_000009_000019#enc2zh#2 一个男人在桌子上使用一台机器，他正在切割木材
9j5QdwaK2gs_000009_000019#enc2zh#3 使用木材切割机切断一块木头的人
9j5QdwaK2gs_000009_000019#enc2zh#4 一个人正在使用电动锯，在商店里切成一块木头
9j5QdwaK2gs_000009_000019#enc2zh#5 一个人指导沿着木板纸的圆锯
9j5QdwaK2gs_000009_000019#enc2zh#6 一个有圆锯的人正在切割一块木头
9j5QdwaK2gs_000009_000019#enc2zh#7 一个人正在使用电动台锯切割成一块木头
9j5QdwaK2gs_000009_000019#enc2zh#8 一把拼图穿过一块木头，顺利的时尚
9j5QdwaK2gs_000009_000019#enc2zh#9 使用圆锯的人切割一块木头，尽可能地直接
eS85W-c8zf0_000063_000073#enc2zh#0 一个人在与其他人播放乐器的庭院演奏口语
eS85W-c8zf0_000063_000073#enc2zh#1 老人正在用整个乐队演奏一个口琴
eS85W-c8zf0_000063_000073#enc2zh#2 一个男人被展示玩他的口琴，然后乐队的休息显示播放他们的乐器
eS85W-c8zf0_000063_000073#enc2zh#3 一个人在乐队等待他们的部分时做一个口琴独奏
eS85W-c8zf0_000063_000073#enc2zh#4 一群人正在使用不同的乐器演奏音乐
eS85W-c8zf0_000063_000073#enc2zh#5 一个人正在玩Hasbonica作为一个乐队和他一起玩的乐队
eS85W-c8zf0_000063_000073#enc2zh#6 一个男人在舞台上扮演一个口琴，而其他人在舞台上玩乐器
eS85W-c8zf0_000063_000073#enc2zh#7 其中一个乐队成员使用他的口琴来玩很好的声音
eS85W-c8zf0_000063_000073#enc2zh#8 一个男人在舞台上与乐队一起玩Houronica到一个拥挤的房间
eS85W-c8zf0_000063_000073#enc2zh#9 一个男人在他身后播放乐器
_oqF3WJSPJo_000006_000016#enc2zh#0 厨房里面的一个人使用机器来帮助他们清洁地板
_oqF3WJSPJo_000006_000016#enc2zh#1 一个人正在使用团队清洁设备来夹紧瓷砖地板的灌浆
_oqF3WJSPJo_000006_000016#enc2zh#2 一个男人在一个与英国国旗上的一个人导致他的狗在楼上使用swiffer sweeper时吠叫
_oqF3WJSPJo_000006_000016#enc2zh#3 一个人正在使用蒸汽拖把清洁厨房里的瓷砖之间的裂缝
_oqF3WJSPJo_000006_000016#enc2zh#4 厨房里的一个人拖着一个设备在地板上
_oqF3WJSPJo_000006_000016#enc2zh#5 一个男人用蒸汽拖把擦地板
_oqF3WJSPJo_000006_000016#enc2zh#6 一个人正在使用蒸汽清洁剂来清洁厨房的瓷砖地板
_oqF3WJSPJo_000006_000016#enc2zh#7 在拖把头在地板上掉下来之后，人推动蒸汽清洁拖把的手柄
_oqF3WJSPJo_000006_000016#enc2zh#8 英国裤子的一个人是蒸汽清洁厨房楼层的瓷砖灌浆
_oqF3WJSPJo_000006_000016#enc2zh#9 工会杰克装备的一个人清洁厨房楼层
9zOx_IW_rAE_000031_000041#enc2zh#0 一名妇女在一个旋转的陶瓷工的车轮上与粘土一起工作
9zOx_IW_rAE_000031_000041#enc2zh#1 一个老年女人用手旋转灌装轮，扔一个锅
9zOx_IW_rAE_000031_000041#enc2zh#2 一个女人在人们看时，跪着旋转粘土
9zOx_IW_rAE_000031_000041#enc2zh#3 妇女塑造粘土到一块石头上，人们俯瞰着
9zOx_IW_rAE_000031_000041#enc2zh#4 一个女人正在使用一只手转动轮子，使陶器成为几个人正在观看
9zOx_IW_rAE_000031_000041#enc2zh#5 一个女人用手旋转一个陶工轮，捏住粘土
9zOx_IW_rAE_000031_000041#enc2zh#6 一个年长的女人在地上蹲下来创造陶器，而其他女人则观看
9zOx_IW_rAE_000031_000041#enc2zh#7 孩子们坐在一个坚硬的地板上，看着一个女人旋转陶轮
9zOx_IW_rAE_000031_000041#enc2zh#8 使用一个原始陶轮，女人在家庭手表时创建一个碗
9zOx_IW_rAE_000031_000041#enc2zh#9 随着人们看着她，一个女人正在粘土中拿出一个碗
iDLxOwx-ZpE_000002_000012#enc2zh#0 一个人蹦极跳下了一座非常高的桥梁向河
iDLxOwx-ZpE_000002_000012#enc2zh#1 有人在其他人看上去时，有人跳下一座桥梁
iDLxOwx-ZpE_000002_000012#enc2zh#2 一个人蹦极跳下桥梁和河
iDLxOwx-ZpE_000002_000012#enc2zh#3 有人蹦极跳出一座桥上望着河的桥
iDLxOwx-ZpE_000002_000012#enc2zh#4 个人蹦极跳过一个领域的一条小河
iDLxOwx-ZpE_000002_000012#enc2zh#5 一个人是蹦极跳下桥梁和河流
iDLxOwx-ZpE_000002_000012#enc2zh#6 在一个人夹住绳子，跳下了惊人的三合一
iDLxOwx-ZpE_000002_000012#enc2zh#7 个人蹦极直接在一小块水上跳跃
iDLxOwx-ZpE_000002_000012#enc2zh#8 一个人附着在蹦极绳跳出桥梁，被绳子拉回来
iDLxOwx-ZpE_000002_000012#enc2zh#9 一个人落在河边，同时附着在蹦极
HSi7Lbwh3Q8_000195_000205#enc2zh#0 一个人正在敲打桌子上的一些塑料碎片
HSi7Lbwh3Q8_000195_000205#enc2zh#1 鲜艳的塑料块被击倒了一些多米诺骨牌风格
HSi7Lbwh3Q8_000195_000205#enc2zh#2 橙色红色和黑色多米诺骨牌落在堆中入堆
HSi7Lbwh3Q8_000195_000205#enc2zh#3 有人用手撕毁橙红绿色和黑色塑料件的塔楼
HSi7Lbwh3Q8_000195_000205#enc2zh#4 有人击倒了一堆多米诺骨牌，然后愤怒地扔进堆里
HSi7Lbwh3Q8_000195_000205#enc2zh#5 一个人在橙色堆的多米诺骨牌旁边击倒了红色多米诺骨牌的墙壁
HSi7Lbwh3Q8_000195_000205#enc2zh#6 一个男人已经成立了多米诺骨牌，并将它们推下来
HSi7Lbwh3Q8_000195_000205#enc2zh#7 不同的彩色块以图案排列并被击倒
HSi7Lbwh3Q8_000195_000205#enc2zh#8 有人正在粉碎一件彩色的拼图
HSi7Lbwh3Q8_000195_000205#enc2zh#9 有人在已经凌乱的多米诺骨牌上扔了一堆彩色多米诺骨牌
2i7exCgd_j0_000388_000398#enc2zh#0 在蜜蜂西装的一个人的院子里把握蜂箱
2i7exCgd_j0_000388_000398#enc2zh#1 喷洒气体时，一只蜜蜂守护者去除蜜蜂和收集蜂蜜
2i7exCgd_j0_000388_000398#enc2zh#2 穿着蜜蜂守护者服装的人正在删除一个男人的顶部，并使用吸烟者排斥蜜蜂的飞行
2i7exCgd_j0_000388_000398#enc2zh#3 养蜂人打开了蜜蜂巢，然后用一些东西
2i7exCgd_j0_000388_000398#enc2zh#4 一个男人试图从蜜蜂蜂巢中提取蜂蜜
2i7exCgd_j0_000388_000398#enc2zh#5 一名工人在手中开辟了一个人造的蜜蜂蜂巢
2i7exCgd_j0_000388_000398#enc2zh#6 一个穿着防护服的男人拆除了蜜蜂的顶部
2i7exCgd_j0_000388_000398#enc2zh#7 养蜂人在外面致力于他的蜂蜜藏，蜜蜂正在努力
2i7exCgd_j0_000388_000398#enc2zh#8 蜜蜂守护者正在检查蜜蜂的进步
2i7exCgd_j0_000388_000398#enc2zh#9 养蜂人打开了一个包含数百只蜜蜂的蜂巢
H0_bZL1X1sk_000000_000010#enc2zh#0 一个人走进厨房打开冰箱看起来，手伸出一罐
H0_bZL1X1sk_000000_000010#enc2zh#1 一名大学生走进厨房打开冰箱，冰箱里面的人递给了一罐啤酒
H0_bZL1X1sk_000000_000010#enc2zh#2 一个年轻人进入厨房，打开冰箱看着里面，突然出现一罐手
H0_bZL1X1sk_000000_000010#enc2zh#3 当一个人打开冰箱时，一些年轻人在厨房里有一个有趣的小儿士，并从里面的某人喝了一杯
H0_bZL1X1sk_000000_000010#enc2zh#4 一个人走进厨房打开冰箱和一个人从里面喝一杯
H0_bZL1X1sk_000000_000010#enc2zh#5 作为一个男孩打开冰箱，看起来有一套手打开一个可以喝点并把它交给他
H0_bZL1X1sk_000000_000010#enc2zh#6 一个男人打开冰箱和里面的人喝一杯
H0_bZL1X1sk_000000_000010#enc2zh#7 年轻人走进厨房打开冰箱，一只手从冰箱里出来打开一罐苏打水并给他
H0_bZL1X1sk_000000_000010#enc2zh#8 一个男人走进厨房打开冰箱，看着里面，一双手似乎打开了一个可以把它交给他
H0_bZL1X1sk_000000_000010#enc2zh#9 一个男人去冰箱，打开它在冰箱里面的别人拿走他们的手，给他一个罐头饮料
vdYCpIqykjA_000016_000026#enc2zh#0 听到声音交谈，而一个小小孩在她的胃上躺在地板上
vdYCpIqykjA_000016_000026#enc2zh#1 一个婴儿正试图在黑暗中爬到一个地毯上
vdYCpIqykjA_000016_000026#enc2zh#2 在电视在背景中扮演的时候，婴儿挣扎着爬行
vdYCpIqykjA_000016_000026#enc2zh#3 婴儿挣扎，而两个成年人大概是她的父母在背景中谈论
vdYCpIqykjA_000016_000026#enc2zh#4 一个婴儿正在努力爬行，但没有得到任何地方
vdYCpIqykjA_000016_000026#enc2zh#5 一个年轻的女孩在一个黑暗的房间里移动，而成年人在背景中谈话
vdYCpIqykjA_000016_000026#enc2zh#6 一个幼儿在地板上铺设了，然后移动了双臂和腿
vdYCpIqykjA_000016_000026#enc2zh#7 地板上的婴儿似乎试图爬行，但随着两位成年人讨论轿车中的物品
vdYCpIqykjA_000016_000026#enc2zh#8 一个年轻的孩子在地板上爬行然后躺下
vdYCpIqykjA_000016_000026#enc2zh#9 一个婴儿试图学会爬上地毯上的地毯上
hJA9pbSKLyY_000046_000056#enc2zh#0 坐在沙发上的男孩在琵琶上扮演一个曲调
hJA9pbSKLyY_000046_000056#enc2zh#1 一个长长的金发的年轻男孩扮演琵琶
hJA9pbSKLyY_000046_000056#enc2zh#2 在她完成她的曼陀林时，在她的曼陀林上玩一个年轻的女孩她起床了
hJA9pbSKLyY_000046_000056#enc2zh#3 一个男孩在他的客厅里扮演吉他
hJA9pbSKLyY_000046_000056#enc2zh#4 在一个木串仪器上演奏一首歌的男孩
hJA9pbSKLyY_000046_000056#enc2zh#5 一个男孩坐在椅子上吉他上的一首歌
hJA9pbSKLyY_000046_000056#enc2zh#6 一个年轻的男孩有一个独特的形状的仪器，就像吉他，并拔出它
hJA9pbSKLyY_000046_000056#enc2zh#7 一个男孩在坐在椅子上坐在房间里玩尤克里里琴
hJA9pbSKLyY_000046_000056#enc2zh#8 一个年轻人戏剧然后在琵琶上结束然后站起来
hJA9pbSKLyY_000046_000056#enc2zh#9 一个年轻人正在玩巴拉拉卡，这是一个乐器
HPzAQ1aZrJA_000120_000130#enc2zh#0 一个男人试图修复自行车轮胎的内衬
HPzAQ1aZrJA_000120_000130#enc2zh#1 一个男人在叙述他的行动时归因于教学目的
HPzAQ1aZrJA_000120_000130#enc2zh#2 一个男人在一个水管上粗糙，他正在准备与之合作
HPzAQ1aZrJA_000120_000130#enc2zh#3 一个男人在孔所在的轮胎上粗糙
HPzAQ1aZrJA_000120_000130#enc2zh#4 一个男人粗糙的一部分自行车轮胎来修复一个洞
HPzAQ1aZrJA_000120_000130#enc2zh#5 一个男人展示了如何修补刺破的自行车管
HPzAQ1aZrJA_000120_000130#enc2zh#6 这个男人正在使用找到的材料来创建自己的资源，因为这款自行车网络显示
HPzAQ1aZrJA_000120_000130#enc2zh#7 一个男人正在使用物体摩擦橡胶上的洞
HPzAQ1aZrJA_000120_000130#enc2zh#8 一个男人解释了如何在车库里修补内管
HPzAQ1aZrJA_000120_000130#enc2zh#9 一名男子使用银色挑选，顺畅地向下横向横向叙述
y3BFU2DGiKg_000017_000027#enc2zh#0 有人在木地板上使用某种设备来清洁它
y3BFU2DGiKg_000017_000027#enc2zh#1 电力清洁器正在用于清洁硬木地板
y3BFU2DGiKg_000017_000027#enc2zh#2 一个人使用蒸汽清洁装置来清洁硬木地板
y3BFU2DGiKg_000017_000027#enc2zh#3 一个人用他们的真空吸尘了硬木地板
y3BFU2DGiKg_000017_000027#enc2zh#4 有人在楼层上吸尘，而音乐在背景中播放
y3BFU2DGiKg_000017_000027#enc2zh#5 一个人从拖把上喷洒在地板上，然后用拖把慢慢地清理地板
y3BFU2DGiKg_000017_000027#enc2zh#6 一个人使用地板清洁剂来蒸汽清洁木地板
y3BFU2DGiKg_000017_000027#enc2zh#7 真空清洁房屋的硬木地板
y3BFU2DGiKg_000017_000027#enc2zh#8 一个人使用一个小型吸尘器在深棕色硬木地板上扫除灰尘
y3BFU2DGiKg_000017_000027#enc2zh#9 一个人正在使用蒸汽清洁剂来清洁硬木地板
JFTizydGoks_000109_000119#enc2zh#0 一名男子抱着一个小孩子，因为她将鱼类食物落到下面的锦鲤池塘
JFTizydGoks_000109_000119#enc2zh#1 一个小女孩和她的母亲在池塘里看着鱼群
JFTizydGoks_000109_000119#enc2zh#2 一个女孩坐在池塘的边缘，看着她下面的大量鱼游泳
JFTizydGoks_000109_000119#enc2zh#3 成年人抱着一个年轻的女孩坐在俯瞰池塘的墙上，因为她把食物投掷到池塘的koi
JFTizydGoks_000109_000119#enc2zh#4 一个小女孩在一个成年人在一个锦鲤池塘的边缘举行
JFTizydGoks_000109_000119#enc2zh#5 一个男人和一个小女孩将食物投入池塘，喂几条鱼
JFTizydGoks_000109_000119#enc2zh#6 一个坐着的年轻女孩饲料在池塘里收集Coi，因为听到了自来水
JFTizydGoks_000109_000119#enc2zh#7 一个幼儿俯视着一个koi池塘，同时被父母克制
JFTizydGoks_000109_000119#enc2zh#8 看到一个人携带一个小孩来查看下面游泳的鱼类
JFTizydGoks_000109_000119#enc2zh#9 有桃红色紧身裤的一个女孩在池塘喂养日本koi鱼
80JSXxJPaCU_000000_000010#enc2zh#0 一个黄色背心的男人走进街上另一个男人说动作然后是黄色背心的男人开始指挥交通
80JSXxJPaCU_000000_000010#enc2zh#1 一名官员站在街道的中间的流量
80JSXxJPaCU_000000_000010#enc2zh#2 一条警官在路的中间正在指导交通
80JSXxJPaCU_000000_000010#enc2zh#3 一名警察在穿着最喜欢的霓虹灯背心时正在进行交通税
80JSXxJPaCU_000000_000010#enc2zh#4 一个有警察和卡尔特兰工人的场景似乎被拍摄了
80JSXxJPaCU_000000_000010#enc2zh#5 在正常交通天线指导交通时正在拍摄警察
80JSXxJPaCU_000000_000010#enc2zh#6 有人说行动然后是一位警察在一条街道中间，背后指导人们前进
80JSXxJPaCU_000000_000010#enc2zh#7 交通总监沿途街道指导车辆
80JSXxJPaCU_000000_000010#enc2zh#8 一个男人站在街道的中间的流量
80JSXxJPaCU_000000_000010#enc2zh#9 站立在路和标志和指挥交通的人的英尺长度
kdOWzelpQA0_000003_000013#enc2zh#0 一个蹦床上的一个年轻人做了在别人面前的背面
kdOWzelpQA0_000003_000013#enc2zh#1 一个男孩在一个大的蹦床上跳跃，然后成功地完成了一个完整的翻转到他朋友的欢呼声
kdOWzelpQA0_000003_000013#enc2zh#2 一个年轻人在蹦床上做几个背面
kdOWzelpQA0_000003_000013#enc2zh#3 一个男孩在赤脚外面的蹦床上做了翻滚
kdOWzelpQA0_000003_000013#enc2zh#4 一个十几岁的男孩在外面的蹦床上做回来翻转
kdOWzelpQA0_000003_000013#enc2zh#5 一个青少年正在蹦床上弹跳，然后进入后面的翻盖，然后是另一个
kdOWzelpQA0_000003_000013#enc2zh#6 跳跃在绷床和做后翻转的十几岁的男孩
kdOWzelpQA0_000003_000013#enc2zh#7 一个男孩在蹦床上跳跃，然后重新翻转
kdOWzelpQA0_000003_000013#enc2zh#8 一个男孩正在蹦床上跳跃并做一些翻转
kdOWzelpQA0_000003_000013#enc2zh#9 当他的朋友手表时，少年正在蹦床翻转
TFxN_vrUEHM_000024_000034#enc2zh#0 一个充满男性和女性夫妻的房间跳舞音乐
TFxN_vrUEHM_000024_000034#enc2zh#1 一群人在播放现场音乐时，彼此跳舞
TFxN_vrUEHM_000024_000034#enc2zh#2 穿着成对的人舞蹈，以平静的乡村音乐用文字之王
TFxN_vrUEHM_000024_000034#enc2zh#3 人们在一顿晚餐时跳舞，在宴会大厅穿着正式的宴会
