7CN3ENwfMBE_000096_000106#zh#0 一个穿着黑色衣服的人和另一个拿着纸在说话。
FL6U-yie3WE_000000_000010#zh#1 一名男子利用眨眼睛的动作将挂在额头上的墨镜滑向眼睛。
FL6U-yie3WE_000000_000010#zh#2 一个男人开车途中皱了下眉，墨镜刚好掉下。
FL6U-yie3WE_000000_000010#zh#3 一个穿着黑色的衣服的男人戴着眼镜。
FL6U-yie3WE_000000_000010#zh#4 一个穿着黑色上衣戴着黑色眼睛的男人身上系着安全带在开车。
FL6U-yie3WE_000000_000010#zh#5 一个男人在开车，然后带上了一副眼镜。
FL6U-yie3WE_000000_000010#zh#6 一名男子正在驾驶车辆，他的太阳镜从头顶上面掉了下来。
FL6U-yie3WE_000000_000010#zh#7 一名男子用他的面部肌肉肉把太阳眼镜移到他的眼睛上。
FL6U-yie3WE_000000_000010#zh#8 一个开车的人移动他的额头, 把他的太阳镜从他的额头上扔到他的鼻子上。
FL6U-yie3WE_000000_000010#zh#9 一个男人正在把太阳镜弹到他的脸上。
zsChU-Y8tuM_000012_000022#zh#0 一个穿绿色上衣的男人低着头用手拍打腿。
zsChU-Y8tuM_000012_000022#zh#1 一个穿着绿色大衣的人坐在椅上，不停用手在腿上打出节拍。
zsChU-Y8tuM_000012_000022#zh#2 一个穿绿色衣服的服务员正在为一位顾客做按摩。
zsChU-Y8tuM_000012_000022#zh#3 一个穿着绿色上衣，戴着眼镜的男子坐在凳子上，双手在拍打着腿。
zsChU-Y8tuM_000012_000022#zh#4 一个男人坐在椅子上，双手不停的拍打两条腿。
zsChU-Y8tuM_000012_000022#zh#5 一名男子用双手击打双腿打出节拍。
zsChU-Y8tuM_000012_000022#zh#6 一个男子坐在砖墙前前用双手拍打着自己的大腿排出了节奏。
zsChU-Y8tuM_000012_000022#zh#7 一个男孩坐在昏暗房间的凳子上，在大腿和空中打鼓。
zsChU-Y8tuM_000012_000022#zh#8 一个人双手拍打腿部有节奏地创造出音乐。
zsChU-Y8tuM_000012_000022#zh#9 一个孩子坐在一堵砖墙前面，敲打着他的腿部在做着音乐。
tvkZCFum4lw_000008_000018#zh#0 一个男人坐在凳子上跟着音乐的节奏舞动了一下，然后站起了身。
tvkZCFum4lw_000008_000018#zh#1 一个穿着灰色上衣的男人，正在电脑前手舞足蹈。
tvkZCFum4lw_000008_000018#zh#2 一个坐着的男人转动了一下椅子后站了起来。
tvkZCFum4lw_000008_000018#zh#3 在一个房间里，一个人在椅子上鼓掌。
tvkZCFum4lw_000008_000018#zh#4 在一个房间里，有一个男人坐在椅子上面，然后站了起来。
tvkZCFum4lw_000008_000018#zh#5 一名男子在办公室的隔间里，为一些事情感到兴奋。
tvkZCFum4lw_000008_000018#zh#6 一个人坐在电脑面前拍手，然后推开椅子站了起来。
tvkZCFum4lw_000008_000018#zh#7 一个男人在电脑前挥舞双手然后开心的笑了起来。
tvkZCFum4lw_000008_000018#zh#8 一个穿着灰色上衣的男子在办公桌前。
tvkZCFum4lw_000008_000018#zh#9 一个男人坐在办公桌前做一个手势，然后面对一台电脑显示器站起来。
XLkuBgAq6Bc_000012_000022#zh#0 一个男人戴着氧气罩在水里唱着歌跳着舞。
XLkuBgAq6Bc_000012_000022#zh#1 一个人随着音乐摇摆，另一个人在弹吉他。
XLkuBgAq6Bc_000012_000022#zh#2 一个男子戴着潜水镜在一群鱼的前面进行唱歌跳舞。
XLkuBgAq6Bc_000012_000022#zh#3 有很多人一边在唱着歌一边在扭动着身体。
XLkuBgAq6Bc_000012_000022#zh#4 一个男人戴着潜水镜跟着音乐摇摆，后面有鱼儿游来游去。
XLkuBgAq6Bc_000012_000022#zh#5 一个身穿浮潜面罩的男人在与前面打起鼓来。
XLkuBgAq6Bc_000012_000022#zh#6 一个男人正在水下跟着音乐不停的跳动着。
XLkuBgAq6Bc_000012_000022#zh#7 一个孩子在水下击鼓, 就像另一个人被在弹吉他一样。
XLkuBgAq6Bc_000012_000022#zh#8 一个人在水下，而一些鱼儿在他旁边转。
XLkuBgAq6Bc_000012_000022#zh#9 一个戴着浮潜面具的男孩正在随着音乐打鼓。
VxyMj-ct9Go_000067_000077#zh#0 一个身穿黑色上衣戴着帽子的男人在水里和鳄鱼玩耍。
VxyMj-ct9Go_000067_000077#zh#1 室内的水池里有一个男人站在一条张着大嘴的鳄鱼背后，而水池外有一群人在围观。
VxyMj-ct9Go_000067_000077#zh#2 一个男人在鳄鱼池里摸着一条鳄鱼。
VxyMj-ct9Go_000067_000077#zh#3 在一个水池里，一个黑衣男子正在驯化鳄鱼。
VxyMj-ct9Go_000067_000077#zh#4 浅水池中一个男人站在鳄鱼背后用手掰鳄鱼上颚，水池边站满了人。
VxyMj-ct9Go_000067_000077#zh#5 一个张开大嘴的鳄鱼，身后有一个男人在抚摸鳄鱼的背。
VxyMj-ct9Go_000067_000077#zh#6 一个男人在水池中摸一条鳄鱼的上颚，周围有人观看。
VxyMj-ct9Go_000067_000077#zh#7 一群观众正在观看，一个男人正在水下抚摸一只鳄鱼的头部。
VxyMj-ct9Go_000067_000077#zh#8 一个穿着黑色上衣戴着黑色帽子的男人在训练鳄鱼。
VxyMj-ct9Go_000067_000077#zh#9 动物园里的一个男人站在鳄鱼上方并控制着它。
fhzt3XSO9Ho_000046_000056#zh#0 一名男子在动物园正与一头鳄鱼亲密的接触。
fhzt3XSO9Ho_000046_000056#zh#1 一个人坐在鳄鱼背上，并用双手抓住鳄鱼嘴部，试图控制它。
fhzt3XSO9Ho_000046_000056#zh#2 一个穿着灰色上衣的男人坐在一条鳄鱼的背上，并把头伸向鳄鱼的嘴巴里。
fhzt3XSO9Ho_000046_000056#zh#3 一个鳄鱼在池内，另一只鳄鱼在水池上面，男子坐在鳄鱼身上，下巴贴着鳄鱼的嘴巴。
fhzt3XSO9Ho_000046_000056#zh#4 一个男人坐在鳄鱼身上将自己的头放在被掰开的鳄鱼嘴里。
fhzt3XSO9Ho_000046_000056#zh#5 一名男子正坐在鳄鱼身上，同时拉开鳄鱼的嘴，将下巴放在鳄鱼嘴的边缘。
fhzt3XSO9Ho_000046_000056#zh#6 一名男子坐在鳄鱼坑里的鳄鱼背上, 下巴在鳄鱼鼻子上。
fhzt3XSO9Ho_000046_000056#zh#7 一个男人正盯着鳄鱼的嘴，摸着他的尾巴，这时有一个人在后面说着话。
fhzt3XSO9Ho_000046_000056#zh#8 一名男子坐在鳄鱼身上，将鳄鱼嘴掰开着。
fhzt3XSO9Ho_000046_000056#zh#9 一个男人把鳄鱼的嘴掰开，然后把头伸进鳄鱼嘴里。
hCRKb6R8Sd0_000139_000149#zh#0 在一间明亮的房间内，一个男人，坐在床上说话。
hCRKb6R8Sd0_000139_000149#zh#1 一个男孩坐在床上在说话不知道想干嘛。
hCRKb6R8Sd0_000139_000149#zh#2 一个男子带着衣服上的帽子笑着在说话。
hCRKb6R8Sd0_000139_000149#zh#3 在一个房间里，一个戴着帽子的男人在说话。
hCRKb6R8Sd0_000139_000149#zh#4 一个戴着项链的男人在不停地说话。
hCRKb6R8Sd0_000139_000149#zh#5 一个人被问到为什么我们存在，他回答说：“我不知道”。
hCRKb6R8Sd0_000139_000149#zh#6 一个人正在非常开心的对着一个方向说着话。
hCRKb6R8Sd0_000139_000149#zh#7 一个穿着灰色连帽的年轻人坐在卧室里。
hCRKb6R8Sd0_000139_000149#zh#8 一个戴着头套的黑人男子坐在床上回答问题。
hCRKb6R8Sd0_000139_000149#zh#9 连帽衫的黑皮肤男子回答“为什么我们存在”的问题？。
DX7QDSwVC_8_000059_000069#zh#0 一个穿着黑色衣服的男人和一个穿着黑色衣服的女人在谈话。
DX7QDSwVC_8_000059_000069#zh#1 摄像机旁一黑衣女子在采访一位蓝衣男子。
DX7QDSwVC_8_000059_000069#zh#2 一个穿黑衣服的男人和一个女人在面对面坐着聊天。
DX7QDSwVC_8_000059_000069#zh#3 一个长头发穿着黑色衣服的女人和一个穿短袖的男人在讲话。
DX7QDSwVC_8_000059_000069#zh#4 有一个男人和一个女人在说话。女人旁边还站着另外一个人。
DX7QDSwVC_8_000059_000069#zh#5 两个人对着镜头说话接受采访一个回答关于蜂鸣的问题。
DX7QDSwVC_8_000059_000069#zh#6 关于特斯拉首席执行官艾隆·穆斯克的新闻部分报道。
DX7QDSwVC_8_000059_000069#zh#7 一个女人问一个问题，伊隆麝香回答从一个不同的位置。
DX7QDSwVC_8_000059_000069#zh#8 在电视机前一位女士坐在椅子上在采访一位男士。
DX7QDSwVC_8_000059_000069#zh#9 一个女人正在采访埃隆·马斯克，问他谁是最受欢迎的宇航员。
y5xuvHpDPZQ_000005_000015#zh#0 一群人坐在观众席上观看足球场上的人。
y5xuvHpDPZQ_000005_000015#zh#1 绿色球场上，一群人在慢慢走着，观众为他们鼓掌。
y5xuvHpDPZQ_000005_000015#zh#2 足球场周围观众们都在看一场激烈的足球比赛。
y5xuvHpDPZQ_000005_000015#zh#3 一个运动场上，观众们看着一群人缓缓走进球场。
y5xuvHpDPZQ_000005_000015#zh#4 一群运动员在球场上走着，场边坐满了观众。
y5xuvHpDPZQ_000005_000015#zh#5 足球场内的一大群人正在为下面的足球场的足球运动员喝彩。
y5xuvHpDPZQ_000005_000015#zh#6 球员走到足球场边的时候，观众都在欢呼鼓掌。
y5xuvHpDPZQ_000005_000015#zh#7 当男球迷在足球场上观看球队比赛时，他们在看台上欢呼。
y5xuvHpDPZQ_000005_000015#zh#8 足球场上一群足球队员正在向球迷挥手致意。
y5xuvHpDPZQ_000005_000015#zh#9 一群足球运动员准备离开球场，他们顺着教练走向角落。
LMGRuga2Y_Y_000008_000018#zh#0 这是一个足球赛在赛场的看台上有很多的人在看比赛。
LMGRuga2Y_Y_000008_000018#zh#1 一群足球运动员在足球场里向前走。
LMGRuga2Y_Y_000008_000018#zh#2 在一个球场上，观众们正在看着一群人踢足球。
LMGRuga2Y_Y_000008_000018#zh#3 一群人正在观看一些人在操场上打球。
LMGRuga2Y_Y_000008_000018#zh#4 场地上有一些人在走路，旁边有很多人在观看。
LMGRuga2Y_Y_000008_000018#zh#5 体育馆里，很多人坐在看台上看足球比赛。
LMGRuga2Y_Y_000008_000018#zh#6 当足球运动员穿过田野时，成千上万的人聚集在一起。
LMGRuga2Y_Y_000008_000018#zh#7 在一个大型的体育场地进行着一场职业足球比赛，观众们为之鼓掌。
LMGRuga2Y_Y_000008_000018#zh#8 体育场有很多观众参观这项体育赛事，似乎是足球比赛。
LMGRuga2Y_Y_000008_000018#zh#9 人们在一个巨大的体育场上玩耍，人们在坐着观看。
RaKzWVLJsqw_000002_000012#zh#0 在演唱会上，成千上万的人打开自己手机的闪光灯不停地进行摇晃。
RaKzWVLJsqw_000002_000012#zh#1 一群人在某个演唱会上挥舞着自己的双手和手机闪光灯。
RaKzWVLJsqw_000002_000012#zh#2 一群人在一个大型活动现场举起双手击掌。
RaKzWVLJsqw_000002_000012#zh#3 一群人在晚上群聚在一起，听着音乐表演。
RaKzWVLJsqw_000002_000012#zh#4 很多人举着手里的小灯光在晃动，一些人拍打着双手。
RaKzWVLJsqw_000002_000012#zh#5 一群人在音乐会上挥舞双手。
RaKzWVLJsqw_000002_000012#zh#6 一群人手向上伸着，其中有个人戴着手表。
RaKzWVLJsqw_000002_000012#zh#7 一群人在听音乐会，随着音乐节奏拍手。
RaKzWVLJsqw_000002_000012#zh#8 在音乐会上，人们举起双手在空中拍手。
RaKzWVLJsqw_000002_000012#zh#9 观众台下坐满了人，挥舞着荧光棒。
rFee2NCkWQE_000013_000023#zh#0 一个穿着黑色衣服的女人在脸上涂抹肤护品。
rFee2NCkWQE_000013_000023#zh#1 一个穿着黑色衣服的女人在脸上涂抹东西。
rFee2NCkWQE_000013_000023#zh#2 一个女人先将手里的护肤品涂到脸上，然后又将护肤品涂开。
rFee2NCkWQE_000013_000023#zh#3 一个穿黑衣服的女人往脸上涂抹了东西并用手指按摩脸部皮肤。
rFee2NCkWQE_000013_000023#zh#4 一位女士把面霜涂到脸上，慢慢的加以按摩。
rFee2NCkWQE_000013_000023#zh#5 一位女士一步一步地展示如何在脸上涂抹乳液。
rFee2NCkWQE_000013_000023#zh#6 一个穿黑色衣服的女人在往脸上抹护肤品并用手抚平。
rFee2NCkWQE_000013_000023#zh#7 一个女人用手基础的按摩脸部, 并与向外运动混合。
rFee2NCkWQE_000013_000023#zh#8 一个女人在脸上打了一些化妆水, 然后开始按摩, 把它混合在一起。
rFee2NCkWQE_000013_000023#zh#9 一位女士正在教导如何涂抹面霜。
Z0Gm7WTyk-o_000051_000061#zh#0 一个女的正在车子里，仔细地上着妆。
Z0Gm7WTyk-o_000051_000061#zh#1 一个女人在车里用手抚摸着自己的脸。
Z0Gm7WTyk-o_000051_000061#zh#2 一个围着头巾的女人坐在车里用手在脸上各个部位抹。
Z0Gm7WTyk-o_000051_000061#zh#3 一位穿浅色衣服的人坐在车里化妆。
Z0Gm7WTyk-o_000051_000061#zh#4 在一个汽车里，有一个女人用手摸了一下自己的脸。
Z0Gm7WTyk-o_000051_000061#zh#5 坐在车里的女人在脸上涂了一些化妆品。
Z0Gm7WTyk-o_000051_000061#zh#6 一个女子在不断的用手摩擦自己的脸。
Z0Gm7WTyk-o_000051_000061#zh#7 一个女人正坐在汽车方向盘后面化妆。
Z0Gm7WTyk-o_000051_000061#zh#8 一个穿着白色衣服的女人在车里化妆，然后微笑。
Z0Gm7WTyk-o_000051_000061#zh#9 一个女人在车里把奶油涂在脸上。并且一直在摸来摸去。
tVcviCxEy10_000380_000390#zh#0 在一间明亮的房间内，一个女人，在涂抹着自己的脸蛋，旁边一个男人在观看。
tVcviCxEy10_000380_000390#zh#1 一年女人用手抹脸，身后站着一个穿白大褂的男人。
tVcviCxEy10_000380_000390#zh#2 一个女人对着镜子在化妆，男孩站在旁边看。
tVcviCxEy10_000380_000390#zh#3 一个女人正在往脸上涂抹东西，旁边还站着一个穿白大褂的男人。
tVcviCxEy10_000380_000390#zh#4 在一个房间里，有一个男人和一个女人，女人正在用手摸自己的脸。
tVcviCxEy10_000380_000390#zh#5 一个穿着白色外套的男人看着一个女人将化合物涂抹在脸上。
tVcviCxEy10_000380_000390#zh#6 一个女人在往脸上涂抹东西，旁边一个男人在站着。
tVcviCxEy10_000380_000390#zh#7 一个女人正在化妆，而她的医生在她旁边等候。
tVcviCxEy10_000380_000390#zh#8 一个女子坐在一个男子身旁不停地在脸上涂抹东西。
tVcviCxEy10_000380_000390#zh#9 在浴室里，一个女人正在擦她的脸，而一个男人正在看着她。
S0j2sci10qM_000001_000011#zh#0 在一个宽敞明亮的房间里，一个长头发女人正在涂抹东西。
S0j2sci10qM_000001_000011#zh#1 一个美丽的女子用双手在脸上涂护肤品。
S0j2sci10qM_000001_000011#zh#2 一个外国女的在体验一种护肤产品，把产品抹在了自己眼睛下面。
S0j2sci10qM_000001_000011#zh#3 一个没有穿着上衣的女人，正在化妆。
S0j2sci10qM_000001_000011#zh#4 一个女人从小管子里挤出一点东西均匀的用无名指涂抹在双眼周围。
S0j2sci10qM_000001_000011#zh#5 一位女士在她的脸上使用了一块豌豆大小的化妆品。
S0j2sci10qM_000001_000011#zh#6 一位女士在她的手上涂抹少量的面霜，并且在她的眼睛下涂抹。
S0j2sci10qM_000001_000011#zh#7 一个黑发女人把化妆品用双手在脸上涂抹。
S0j2sci10qM_000001_000011#zh#8 女人用双手将保湿霜轻轻地涂抹在眼睛下方。
S0j2sci10qM_000001_000011#zh#9 一个面霜的展示，然后一个妇女把眼霜涂抹在眼部。
wr6g0JdgqME_000095_000105#zh#0 考古学家在跟人们讲解考古工作是怎么进行的。
wr6g0JdgqME_000095_000105#zh#1 一个人拿着刷子在刷地面上的尘土，另一个站立的男人双手在晃动着。
wr6g0JdgqME_000095_000105#zh#2 一男子拿个石子摆放地上，拿个刮板刮了一堆土。
wr6g0JdgqME_000095_000105#zh#3 一个穿着格子上衣的男人在土里埋石头。
wr6g0JdgqME_000095_000105#zh#4 一个穿着格子衬衫戴着帽子的中老年人正在站着说话。
wr6g0JdgqME_000095_000105#zh#5 一个人正在把一块石头放在地上然后开始刷泥土，然后是一个正在说话的男人。
wr6g0JdgqME_000095_000105#zh#6 一个人拿着地上的一块石头，并用一个刷子刷了刷地上的土。
wr6g0JdgqME_000095_000105#zh#7 一个人把一块石头放到地上，一个男人在讲话。
wr6g0JdgqME_000095_000105#zh#8 一个人把石头放在沙子上然后盖上一些沙子。
wr6g0JdgqME_000095_000105#zh#9 一个人正在用一把刷子清除石头上的污垢。
7KbZLL_DlZ8_000131_000141#zh#0 一名身穿黑色上衣的男子和一名身穿红色上衣的男子，正坐在绿色的草地上。
7KbZLL_DlZ8_000131_000141#zh#1 一个男人和一个女人在草地上跪坐，女人在用小刷子清洗一些东西，男人在讲解。
7KbZLL_DlZ8_000131_000141#zh#2 一个穿着红色衣服的男人正跪在室外一片空地上。
7KbZLL_DlZ8_000131_000141#zh#3 在室外一个戴着帽子的男子和一名戴着帽子的女子，两个人跪在草地上面在说话。
7KbZLL_DlZ8_000131_000141#zh#4 一个女人在用刷子刷东西，旁边的男人在做介绍。
7KbZLL_DlZ8_000131_000141#zh#5 一个男人和一个女人正在清理一些旧金属和石头。
7KbZLL_DlZ8_000131_000141#zh#6 在户外两个男人正在清洗陶器碎片。
7KbZLL_DlZ8_000131_000141#zh#7 这个男人正在说话，而那个女人正在清理东西。
7KbZLL_DlZ8_000131_000141#zh#8 一个穿着红色上衣的男人正在讲述着什么。
7KbZLL_DlZ8_000131_000141#zh#9 一个男人在讲话，旁边的女人在装有液体的锅里清洗一些东西。
3hoSk280ndk_000025_000035#zh#0 一个戴着鸭舌帽的小孩子在草坪上练习射箭。
3hoSk280ndk_000025_000035#zh#1 一个戴着帽子和口罩的孩子将弓箭拿起。
3hoSk280ndk_000025_000035#zh#2 一个戴帽子的小孩右手从袋子里拿出箭。
3hoSk280ndk_000025_000035#zh#3 一个戴帽子的人左手拿着一张白色的弓，右手拿起了一只黑色的箭。
3hoSk280ndk_000025_000035#zh#4 在白天的户外，一个小男孩，站在草地上射箭。
3hoSk280ndk_000025_000035#zh#5 一个戴着帽子和围巾小男孩站在田野里，手里拿着弓箭，另一只手拔出了一只箭。
3hoSk280ndk_000025_000035#zh#6 一个小男孩手里拿着弓箭站在田野里。
3hoSk280ndk_000025_000035#zh#7 一个男孩站在射箭场上，准备尝试射箭。
3hoSk280ndk_000025_000035#zh#8 一个孩子站在射箭场上，从他们的箭袋中拿出一支箭。
3hoSk280ndk_000025_000035#zh#9 一个戴着围巾的小孩子一只手拿着弓，另一只手伸出去拿箭。
aYRujsj9Z_Q_000060_000070#zh#0 一个人站着在射击远处的气球，气球被扎破了。
aYRujsj9Z_Q_000060_000070#zh#1 一个人在户外手拿弓箭，打破了在板子上固定好的多个气球。
aYRujsj9Z_Q_000060_000070#zh#2 空地上的一面墙上挂着一些气球，一个人一下用箭射破了所有的气球。
aYRujsj9Z_Q_000060_000070#zh#3 在室外一个穿黑色衣服的人在射箭。
aYRujsj9Z_Q_000060_000070#zh#4 一个人拿着弓和箭射中了对面黑色布面上的气球。
aYRujsj9Z_Q_000060_000070#zh#5 一个男子正在展示他用弓箭制作的一张唱片。
aYRujsj9Z_Q_000060_000070#zh#6 一个人使用弓箭向一块有气球作为目标的木头射箭。
aYRujsj9Z_Q_000060_000070#zh#7 一个男人在用十字弓箭射击面前的气球。
aYRujsj9Z_Q_000060_000070#zh#8 一个穿着黑色上衣的男人在用弓箭射击着气球。
aYRujsj9Z_Q_000060_000070#zh#9 在室外，一名男子用弓箭射击黑墙上的气球。
R8WQSYYfLi4_000000_000010#zh#0 一个小女孩正在和一个小男孩用“是”和“不”进行对话。
R8WQSYYfLi4_000000_000010#zh#1 两个小孩在说话，小女孩说yes,小男孩说no。
R8WQSYYfLi4_000000_000010#zh#2 一个小女孩和一个小男孩正在大声地叫喊着。
R8WQSYYfLi4_000000_000010#zh#3 一个穿短袖上衣的小女孩和一个穿长袖上衣的小男孩在吵架。
R8WQSYYfLi4_000000_000010#zh#4 一个穿白色衣服的小女孩对着黑色衣服的小男孩大声喊。
R8WQSYYfLi4_000000_000010#zh#5 一个小男孩靠在门口和一个小女孩正在大声的争吵。
R8WQSYYfLi4_000000_000010#zh#6 一个小男孩和一个小女孩在走廊里对着相互喊叫。
R8WQSYYfLi4_000000_000010#zh#7 一个小女孩对着一个小男孩尖叫着喊，他喊着说不。
R8WQSYYfLi4_000000_000010#zh#8 一个小男孩和一个女孩站在门口附近对着对方尖叫。
R8WQSYYfLi4_000000_000010#zh#9 一个小女孩正在跟一个穿着黑色衣服的小男孩说话。
C4TNj8B_Z2o_000009_000019#zh#0 一个穿着牛仔外套的帅气男孩在旋转。
C4TNj8B_Z2o_000009_000019#zh#1 一个英俊的男孩在唱歌，女孩们在尖叫。
C4TNj8B_Z2o_000009_000019#zh#2 一个小男孩正在唱歌，期间夹杂着一个女人的怒吼声。
C4TNj8B_Z2o_000009_000019#zh#3 一个男人在唱歌，穿插着一个女人的吼叫声。
C4TNj8B_Z2o_000009_000019#zh#4 一个男人正在唱歌，旁边有很多人在看。
C4TNj8B_Z2o_000009_000019#zh#5 一个在保龄球馆里的小男孩正在唱着一首流行音乐。
C4TNj8B_Z2o_000009_000019#zh#6 贾斯汀·比伯正在唱他的歌《宝贝》, 但当它唱到“噢”时，它就会切成两个女孩尖叫的片段。
C4TNj8B_Z2o_000009_000019#zh#7 一个男孩在房间里转过身来唱歌，一群人出现了，一个奇怪的尖叫女孩，最后是一个更加旋转的男孩。
C4TNj8B_Z2o_000009_000019#zh#8 一个金发小男孩正在台上唱歌，一个女孩在尖叫着。
C4TNj8B_Z2o_000009_000019#zh#9 贾斯汀·比伯以一种视频格式表演著名的歌曲，女人们为他尖叫。
PG6zKsuEIIA_000015_000025#zh#0 两个半裸上身的男人在桌子上扳手腕。
PG6zKsuEIIA_000015_000025#zh#1 两个男人赤裸着上身坐在椅子上扳手腕，分出胜负后，两人站了起来互相握了握手。
PG6zKsuEIIA_000015_000025#zh#2 一个穿着黑色短裤的男人和一个穿着米色长裤的男人在扳手腕。
PG6zKsuEIIA_000015_000025#zh#3 两个赤裸上身的男子在桌子上掰手腕。
PG6zKsuEIIA_000015_000025#zh#4 两个男人在扳手腕，结束后两人还亲切握手聊天。
PG6zKsuEIIA_000015_000025#zh#5 一群人在外面，两个男人在掰手腕。
PG6zKsuEIIA_000015_000025#zh#6 两个赤裸着上身的男人在室外桌子上掰手腕。
PG6zKsuEIIA_000015_000025#zh#7 两个肌肉发达的无衫男子在外面的咖啡馆里掰手腕。
PG6zKsuEIIA_000015_000025#zh#8 两个没穿衣服的人正在一个桌子上扳手腕。
PG6zKsuEIIA_000015_000025#zh#9 一个戴着眼镜的男子和另外一个男子正在做着手臂摔跤。
abVIgtfR9sY_000028_000038#zh#0 在一个房间里，有两个男人在比赛扳手腕。
abVIgtfR9sY_000028_000038#zh#1 两个人在比拼扳手腕，互相势均力敌。
abVIgtfR9sY_000028_000038#zh#2 在一个房间里，有两个男人他们在掰手腕。
abVIgtfR9sY_000028_000038#zh#3 两个穿着深色衣服的人在比赛掰弯。
abVIgtfR9sY_000028_000038#zh#4 室内有两个男人双手紧握在一起正在扳手腕。
abVIgtfR9sY_000028_000038#zh#5 一对夫妇在桌子上进行比赛掰手腕。
abVIgtfR9sY_000028_000038#zh#6 在室内，两个穿不同颜色衣服的人在掰手腕。
abVIgtfR9sY_000028_000038#zh#7 两个年轻人一边笑着一边进行掰手腕游戏。
abVIgtfR9sY_000028_000038#zh#8 两个男孩在桌子上进行一场掰手腕比赛。
abVIgtfR9sY_000028_000038#zh#9 在一个房间里，两个黑人男孩正在扳手腕。
L_Ic4sz4u-w_000322_000332#zh#0 一个穿着蓝色衣服的女人正在插花。
L_Ic4sz4u-w_000322_000332#zh#1 一个女孩在花店将花整理在花瓶里。
L_Ic4sz4u-w_000322_000332#zh#2 桌子上放了一个装满花的瓶子，一个女人边说话边把一束草插进了瓶子里。
L_Ic4sz4u-w_000322_000332#zh#3 以为穿蓝色衣服的女士正在向一个玻璃瓶中插花。
L_Ic4sz4u-w_000322_000332#zh#4 一个放着很多花草的房间里，一个穿着蓝色衣服的女人在插画。
L_Ic4sz4u-w_000322_000332#zh#5 一个花商正在示范如何正确的装满花瓶。
L_Ic4sz4u-w_000322_000332#zh#6 一个女人正在向观众展示如何摆弄花朵。
L_Ic4sz4u-w_000322_000332#zh#7 一位女士示范将鲜花插入花瓶的正确方法。
L_Ic4sz4u-w_000322_000332#zh#8 一个女人在一个装满水的花瓶里插花。
L_Ic4sz4u-w_000322_000332#zh#9 一个女人一边在桌子上插画一边谈论着。
cqP989DmwyE_000614_000624#zh#0 一个女士很自豪地介绍她刚刚做好的一个花瓶里的花束。
cqP989DmwyE_000614_000624#zh#1 一个短头发的女子一边讲话一边在摸一瓶插花的叶子。
cqP989DmwyE_000614_000624#zh#2 一个穿着黑色衣服的人站在一盆花后面。
cqP989DmwyE_000614_000624#zh#3 在一个明亮的房间，一个女人在摆弄桌子上面的花。
cqP989DmwyE_000614_000624#zh#4 室内有一个女人嘴巴一张一合，并且双手在摸前面的花。
cqP989DmwyE_000614_000624#zh#5 一个女人站在一个大的插花旁边，挥动着自己的双手在讲话。
cqP989DmwyE_000614_000624#zh#6 一个女人站在一个大插花旁边讲解如何插花。
cqP989DmwyE_000614_000624#zh#7 一个女人正在做插花，并且展示在别人面前谈论她的花。
cqP989DmwyE_000614_000624#zh#8 一个穿着黑色上衣的女人在展示怎样插花。
cqP989DmwyE_000614_000624#zh#9 在室内，一个女子一边在摸着一瓶花一边在说话。
