G9zN5TTuGO4_000179_000189#zh#0 在野外，一个人正在悬吊在冰地里面进行作业。
TZ0l4CSYI0Y_000419_000429#zh#1 一个金色卷发的女子坐在白色凳子上，双手夹在腿之间，一言不发地笑了。
TZ0l4CSYI0Y_000419_000429#zh#2 一个女人坐在椅子上，双腿夹着双手，一脸不开心的样子。
TZ0l4CSYI0Y_000419_000429#zh#3 一个房间里，一个穿着格子衣服的女人正在微笑。
TZ0l4CSYI0Y_000419_000429#zh#4 在房间内，一个穿着条纹衣服的女人坐在椅子上。
TZ0l4CSYI0Y_000419_000429#zh#5 在室内，一位成年女人正坐在一个椅子上笑着。
TZ0l4CSYI0Y_000419_000429#zh#6 一个女人坐在房间里的一个凳子上，双手放在两膝之间，同时微笑着。
TZ0l4CSYI0Y_000419_000429#zh#7 一个金发女人坐在屋子的凳子上，并把她的手放在膝盖中间，旁边有个人在跟她说话。
TZ0l4CSYI0Y_000419_000429#zh#8 一个穿着黑色裤子的女人坐在一张椅子上。
TZ0l4CSYI0Y_000419_000429#zh#9 一位坐在椅子上的女士，犹豫着用双手夹在两腿之间说话。
UPujViBOznY_000062_000072#zh#0 一个男人站在讲台上，手拿话筒进行演讲。
UPujViBOznY_000062_000072#zh#1 一个外国男人在舞台上拿着麦克风走动。
UPujViBOznY_000062_000072#zh#2 一个男人手里拿着话筒在舞台上站着。
UPujViBOznY_000062_000072#zh#3 有个穿着长衣长裤的男子站在台上，手里拿了个话筒。
UPujViBOznY_000062_000072#zh#4 一个男人拿着话筒在舞台上走来走去。
UPujViBOznY_000062_000072#zh#5 全国青年节庆祝活动舞台上，一个男子对着麦克风说话。
UPujViBOznY_000062_000072#zh#6 一个男人站在舞台上向观众做自我介绍。
UPujViBOznY_000062_000072#zh#7 有几个人坐在舞台上，一个人正在通过麦克风对观众说话。
UPujViBOznY_000062_000072#zh#8 一个男人手里拿着话筒站着舞台上，后边有人在坐着。
UPujViBOznY_000062_000072#zh#9 一个男子站在舞台上，试图说着什么。
QqlTEhzK_Gw_000015_000025#zh#0 两个穿西装的男人在足球场外围鼓掌，观众们也在鼓掌 ，运动员从场上下来。
QqlTEhzK_Gw_000015_000025#zh#1 草地上的人和观众台上的人在鼓掌。运动员和裁判握手。
QqlTEhzK_Gw_000015_000025#zh#2 不同的人都在鼓掌。一个穿红色衣服的人走过来。
QqlTEhzK_Gw_000015_000025#zh#3 在一个运动场内，一群肤色各异的人正在鼓掌。
QqlTEhzK_Gw_000015_000025#zh#4 在一个宽阔明亮的操场上，许多人正在鼓掌。
QqlTEhzK_Gw_000015_000025#zh#5 一群人正在为一个即将离开的足球球员鼓掌。
QqlTEhzK_Gw_000015_000025#zh#6 一群人正在户外鼓掌庆祝场上的运动员。
QqlTEhzK_Gw_000015_000025#zh#7 穿着西装和运动服的人们正在为一些在草地上玩耍的体育运动员加油助威。
QqlTEhzK_Gw_000015_000025#zh#8 足球运动员在球场上玩耍时，人们在看台上，在场外观看并鼓掌。
QqlTEhzK_Gw_000015_000025#zh#9 几个穿着西装的人在鼓掌，一群穿着休闲服装的人坐在那里鼓掌。
svVhMowxtT0_000000_000010#zh#0 很多人在为刚才的精彩表演鼓掌给出鼓励。
svVhMowxtT0_000000_000010#zh#1 许多人坐在观众台上为台上的演员热情得鼓掌。
svVhMowxtT0_000000_000010#zh#2 一群人都在拍手鼓掌，还有一个男子拿着相机在拍摄。
svVhMowxtT0_000000_000010#zh#3 在一个巨大的房间里，一群观众在鼓掌。
svVhMowxtT0_000000_000010#zh#4 一群人坐在椅子上有的人正在一起拍手。
svVhMowxtT0_000000_000010#zh#5 各个年龄段的观众都在为他们正在观看和聆听的事情鼓掌。
svVhMowxtT0_000000_000010#zh#6 一大群聚在一起的人们在为台上鼓掌。
svVhMowxtT0_000000_000010#zh#7 一群坐着的人正在看着什么而且还鼓掌，而另一个坐在女人腿上的孩子却显得很无聊。
svVhMowxtT0_000000_000010#zh#8 一群坐在观众台的观众正坐着向舞台鼓掌。
svVhMowxtT0_000000_000010#zh#9 一群人目视前方，为自己看到的大型活动拍手。
KgE1nhFYH4k_000022_000032#zh#0 在一个明亮的室内，一个女人正在按摩自己的脸。
KgE1nhFYH4k_000022_000032#zh#1 一个女人用双手对自己的额头和脸部进行按摩。
KgE1nhFYH4k_000022_000032#zh#2 一个女人把护肤品涂在脸上，慢慢的让皮肤吸收。
KgE1nhFYH4k_000022_000032#zh#3 一个盘着头发的女子用双手在脸上按摩。
KgE1nhFYH4k_000022_000032#zh#4 一个卷发女人正在用双手轻柔的按摩着面部。
KgE1nhFYH4k_000022_000032#zh#5 一个女人把脸上的化妆品涂抹均匀。
KgE1nhFYH4k_000022_000032#zh#6 一位女士正在演示正确的涂面霜的方法。
KgE1nhFYH4k_000022_000032#zh#7 一个皮肤光滑的女性如何将乳液涂在脸上。
KgE1nhFYH4k_000022_000032#zh#8 一个女人在双手在涂抹涂在脸上的面霜。
KgE1nhFYH4k_000022_000032#zh#9 一位女士正在演示如何在脸上涂抹面霜。
wbqtzX2Mmc4_000033_000043#zh#0 一个穿着灰色衣服的爷爷正在埋一堆动物的骨头。
wbqtzX2Mmc4_000033_000043#zh#1 一名白发老人在说地上的两块不同部位的骨头。
wbqtzX2Mmc4_000033_000043#zh#2 在一个阳光明媚的天气，一个留着短发的男人在挖坑。
wbqtzX2Mmc4_000033_000043#zh#3 一个穿浅色衣服的人讲述挖出土的化石。
wbqtzX2Mmc4_000033_000043#zh#4 一个有白色头发和胡子的人在室外说着地上的坑和东西。
wbqtzX2Mmc4_000033_000043#zh#5 一个男人在说话，脚下是动物的头骨和骨头。
wbqtzX2Mmc4_000033_000043#zh#6 一个男人正在解释考古学家是如何对恐龙进行挖掘的。
wbqtzX2Mmc4_000033_000043#zh#7 这名男子在将恐龙骨头埋在地下时展示了考古资料。
wbqtzX2Mmc4_000033_000043#zh#8 一个男人正在展示他从泥土中挖出来的骨头。
wbqtzX2Mmc4_000033_000043#zh#9 一个男人坐在坟墓里挖掘恐龙骨头。
LLGQJhkSyCY_000441_000451#zh#0 一个戴帽子的男人用尺子量坑里面的石头。
LLGQJhkSyCY_000441_000451#zh#1 一个男人用一根黄色的棒子在在测量石头之间的距离。
LLGQJhkSyCY_000441_000451#zh#2 一个人正在进行一些测量，并且在本子上记了下来。
LLGQJhkSyCY_000441_000451#zh#3 一个老人在石头堆中间用一根木棒测量石头堆的宽度。
LLGQJhkSyCY_000441_000451#zh#4 在一个明亮的室外，一个男人正在比量一根黄色的棍子。
LLGQJhkSyCY_000441_000451#zh#5 一个男人正在用测量尺测量岩石之间的距离。
LLGQJhkSyCY_000441_000451#zh#6 在户外，一个人拿着一个棍子在测量一个土堆的宽度。
LLGQJhkSyCY_000441_000451#zh#7 一名身穿白色帽子、手持剪贴板的男子正在测量石墙的顶部。
LLGQJhkSyCY_000441_000451#zh#8 一个穿着黑色衣服的男人在测量岩石。
LLGQJhkSyCY_000441_000451#zh#9 一个男子拿着测量工具去测量围墙石头的长度。
JeNGL6M9Bok_000013_000023#zh#0 一群人拿着铲子挖土，其中一个人筛着沙子。
JeNGL6M9Bok_000013_000023#zh#1 一群外国工作正在林子中辛勤努力的工作。
JeNGL6M9Bok_000013_000023#zh#2 在一片森林里的土地上，一群人正在工作。
JeNGL6M9Bok_000013_000023#zh#3 一群人在土地里干活，还有一个男人站着摇东西。
JeNGL6M9Bok_000013_000023#zh#4 一个戴着帽子的人正站在方形的坑里，另一个人半跪在方形坑边，还有一个人在低头看东西。
JeNGL6M9Bok_000013_000023#zh#5 一群工人在挖掘工地上做着各种工作。
JeNGL6M9Bok_000013_000023#zh#6 一群人在一个泥泞的地方工作，一个人用一个装置来抖泥土。
JeNGL6M9Bok_000013_000023#zh#7 工人们在一个树木茂密的地方使用工具，然后在一个木结构中筛选沙子。
JeNGL6M9Bok_000013_000023#zh#8 一个人在筛选污垢时候，还有几个人在一个地方挖掘。
JeNGL6M9Bok_000013_000023#zh#9 有几个人在考古挖掘现场工作，其中一个人站立并筛选污垢。
36E29x22tnQ_000018_000028#zh#0 一个人拿着一把弓箭准备射箭，旁边的两个人和他一样的动作。
36E29x22tnQ_000018_000028#zh#1 一个女人和三个男人摆出帅气的拉好弓箭。
36E29x22tnQ_000018_000028#zh#2 一个老头在拿着弓箭射击，旁边的一个男人也准备射击。
36E29x22tnQ_000018_000028#zh#3 一个穿衬衫戴帽子戴眼镜的男人正在进行射箭身边还有几个人和他一样。
36E29x22tnQ_000018_000028#zh#4 有四个人正在进行射箭项目还有很多观众。
